Index-1,Index-2,$,Brent
0.044557,0.044039,0.132471,0.73864
0.044872,0.044557,0.13244,0.725741
0.044872,0.044872,0.132189,0.736084
0.044872,0.044872,0.131843,0.734805
0.045508,0.044872,0.131529,0.734805
0.045986,0.045508,0.13131,0.7362
0.045927,0.045986,0.131247,0.749913
0.045981,0.045927,0.131749,0.751772
0.045942,0.045981,0.131404,0.75584
0.046571,0.045942,0.131404,0.755375
0.046914,0.046571,0.131655,0.752237
0.047313,0.046914,0.131184,0.77025
0.047214,0.047313,0.131498,0.765369
0.047092,0.047214,0.131498,0.769553
0.046761,0.047092,0.132942,0.774317
0.045968,0.046761,0.134606,0.773155
0.046278,0.045968,0.134606,0.773271
0.046294,0.046278,0.136207,0.773736
0.046144,0.046294,0.137305,0.788611
0.046308,0.046144,0.135987,0.786171
0.046291,0.046308,0.136646,0.786984
0.046338,0.046291,0.137965,0.788611
0.04625,0.046338,0.137054,0.798605
0.046268,0.04625,0.138153,0.802557
0.04648,0.046268,0.138467,0.812086
0.046769,0.04648,0.138938,0.811156
0.047114,0.046769,0.138781,0.815107
0.047428,0.047114,0.139032,0.804765
0.047585,0.047428,0.139628,0.805346
0.047534,0.047585,0.142297,0.798954
0.047247,0.047534,0.144306,0.798954
0.047443,0.047247,0.143741,0.803486
0.04773,0.047443,0.143772,0.814875
0.047873,0.04773,0.143332,0.822894
0.047793,0.047873,0.141763,0.818826
0.047821,0.047793,0.143395,0.815224
0.047644,0.047821,0.14283,0.803719
0.047409,0.047644,0.143364,0.795003
0.047205,0.047409,0.145812,0.801395
0.047005,0.047205,0.147664,0.811273
0.047048,0.047005,0.14892,0.797211
0.047157,0.047048,0.146786,0.783382
0.047106,0.047157,0.147225,0.769553
0.047285,0.047106,0.142673,0.778268
0.047036,0.047285,0.148324,0.727716
0.047104,0.047036,0.152216,0.728995
0.04719,0.047104,0.153095,0.729924
0.047308,0.04719,0.151212,0.749099
0.047347,0.047308,0.147445,0.750029
0.04729,0.047347,0.144682,0.754096
0.047212,0.04729,0.143615,0.75398
0.047216,0.047212,0.141826,0.756072
0.047226,0.047216,0.14057,0.782452
0.047179,0.047226,0.140507,0.779082
0.047188,0.047179,0.14057,0.782103
0.047189,0.047188,0.140382,0.771877
0.047122,0.047189,0.14035,0.750843
0.046846,0.047122,0.14779,0.748867
0.04683,0.046846,0.149736,0.750145
0.046747,0.04683,0.149705,0.76258
0.046655,0.046747,0.149893,0.763974
0.046592,0.046655,0.150301,0.748867
